Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Längengrad	Breitengrd	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-7,159328000	-1,787723700	194,731757000	-0,244142200	0,000833170	0,444770700	-1,570811100	-2,255280200	-0,385264500	0,991007100	-73,770990000	0,146486400	-0,994886800	-0,176229900	155,478645000	1,000062310	-0,336458500	-0,398257000	7,516750340	53,040616000	196,994238000
-7,182216000	-1,886907200	195,296303000	-0,278321800	0,001153620	0,250231200	-2,016344700	-2,169829800	-0,384501600	0,981089400	-73,792962000	0,131227400	-1,165787600	0,395182200	157,449474000	1,000062310	-0,366671100	-0,425723000	7,516750340	53,040616000	196,994238000
-7,113552000	-1,897588500	195,326819000	-0,283204600	0,000961350	0,877335000	-1,277094600	-2,121001000	-0,383738700	0,966594300	-73,809441000	-0,024414400	-1,293963200	0,627866700	159,324165000	1,000062310	-0,370791000	-0,427096300	7,516750340	53,040616000	196,994238000
-7,250880000	-1,682436600	195,479399000	-0,192872800	0,000961350	-0,101465700	-2,295566100	-2,157622600	-0,383738700	0,952099200	-73,836906000	0,045777000	-1,220720000	-0,470709300	161,054649000	1,000062310	-0,281526500	-0,339205100	7,516750340	53,040616000	196,994238000
-7,342432000	-1,610719300	195,708269000	-0,190431400	0,001025440	-0,186147600	-1,502150100	-2,276642800	-0,382212900	0,937604100	-73,858878000	0,064087800	-1,379413600	0,601165200	162,758428000	1,000062310	-0,282899800	-0,344698300	7,516750340	53,040616000	196,994238000
-7,136440000	-1,668703500	195,601463000	-0,124513600	0,000961350	0,009917700	-2,195626200	-2,154570800	-0,382212900	0,920820300	-73,875357000	0,064087800	-1,550314400	-0,087733500	164,318000000	1,000062310	-0,212861500	-0,270540100	7,516750340	53,040616000	196,994238000
-7,273768000	-1,719058200	196,013429000	-0,000002200	0,001025440	0,055691700	-0,863602800	-2,151519000	-0,383738700	0,907851000	-73,902822000	0,109864800	-1,486226600	0,670589100	165,909618000	1,000062310	-0,087891200	-0,145569800	7,516750340	53,040616000	196,994238000
-7,525536000	-1,688540200	195,815075000	0,036618800	0,000897260	-0,293716500	-0,886489800	-2,249176600	-0,382975800	0,895644600	-73,924794000	0,134279200	-1,303118600	-0,977274900	167,373052000	1,000062310	-0,054932000	-0,115357200	7,516750340	53,040616000	196,994238000
-7,708640000	-1,722110000	195,670124000	0,056150000	0,000897260	0,069423900	-2,272679100	-2,340730600	-0,380687100	0,881149500	-73,952259000	-0,094605800	-1,287859600	-1,586069100	168,767053000	1,000062310	-0,039825700	-0,102997500	7,516750340	53,040616000	196,994238000
-7,456872000	-1,627504200	195,937139000	-0,073244200	0,001025440	0,032041800	-1,258785000	-2,407870200	-0,382212900	0,872757600	-73,968738000	0,158693600	-1,086440800	1,086369600	170,086280000	1,000062310	-0,171662500	-0,236207600	7,516750340	53,040616000	196,994238000
-7,433984000	-1,583253100	195,807446000	-0,163576000	0,001025440	-0,707208300	-3,018032400	-2,316316200	-0,384501600	0,861314100	-73,990710000	-0,302128200	-0,958265200	-0,197591100	171,394825000	1,000062310	-0,258180400	-0,319978900	7,516750340	53,040616000	196,994238000
-7,571312000	-1,574097700	195,868478000	-0,019533400	0,000961350	0,430275600	-0,444770700	-2,264435600	-0,385264500	0,852159300	-74,018175000	0,051880600	-1,016249400	0,073238400	172,591209000	1,000062310	-0,112610600	-0,173035800	7,516750340	53,040616000	196,994238000
-7,525536000	-1,581727200	196,326218000	-0,129396400	0,000704990	-0,460791600	-2,169687600	-2,499424200	-0,386027400	0,843767400	-74,040147000	-0,112916600	-1,177994800	0,028990200	173,776911000	1,000062310	-0,230714400	-0,298006100	7,516750340	53,040158200	196,994238000
-7,388208000	-1,500854500	196,364363000	-0,192872800	0,001025440	-0,024412800	-1,408313400	-2,175933400	-0,391367700	0,834612600	-74,062119000	-0,268558400	-0,680551400	-0,372295200	174,855793000	1,000062310	-0,281526500	-0,340578400	7,516750340	53,040158200	196,994238000
-7,639976000	-1,513061700	196,692410000	-0,275880400	0,000833170	-0,047299800	-1,963704600	-2,273591000	-0,392893500	0,829272300	-74,089584000	-0,292972800	-0,668344200	-0,546236400	175,934675000	1,000062310	-0,368044400	-0,429842900	7,516750340	53,040158200	196,994238000
-7,273768000	-1,543579700	196,608491000	-0,158693200	0,001025440	-0,166312200	-2,265813000	-2,249176600	-0,395182200	0,822406200	-74,106063000	-0,366216000	-0,671396000	0,184621800	176,906737000	1,000062310	-0,249940600	-0,310365800	7,516750340	53,040158200	196,994238000
-7,594200000	-1,558838700	196,890764000	-0,141603400	0,000769080	0,495122100	-1,465530900	-2,133208200	-0,396708000	0,814777200	-74,128035000	-0,277713800	-0,753794600	0,671352000	177,884140000	1,000062310	-0,227967800	-0,285646400	7,516750340	53,040158200	196,994238000
-7,136440000	-1,548157400	196,471169000	-0,297853000	0,000897260	-0,234210300	-2,121624900	-2,420077400	-0,395182200	0,805622400	-74,155500000	-0,219729600	-0,836193200	-0,436378800	178,813474000	1,000062310	-0,396883700	-0,461428800	7,516750340	53,040158200	196,994238000
-7,479760000	-1,598512100	196,143122000	-0,273439000	0,000640900	-0,566071800	-2,245214700	-2,380404000	-0,392893500	0,797993400	-74,182965000	0,006103600	-0,897229200	-0,321943800	179,694739000	1,000062310	-0,370791000	-0,433962800	7,516750340	53,040158200	196,994238000
-7,456872000	-1,572571800	195,845591000	-0,261232000	0,002755870	-0,091548000	-2,345917500	-2,301057200	-0,391367700	0,790364400	-74,199444000	0,085450400	-0,842296800	-0,228107100	180,538617000	1,000062310	-0,355684700	-0,417483200	7,516750340	53,040158200	196,994238000
-6,884672000	-1,508484000	195,807446000	-0,275880400	0,000769080	0,265489200	-1,891992000	-2,258332000	-0,390604800	0,783498300	-74,226909000	0,241092200	-0,753794600	0,285324600	181,393177000	1,000062310	-0,368044400	-0,428469600	7,516750340	53,040158200	196,994238000
-7,594200000	-1,528320700	195,693011000	-0,236818000	0,000448630	-0,072475500	-1,982777100	-2,346834200	-0,389079000	0,775106400	-74,248881000	0,280765600	-0,741587400	0,130455900	182,151599000	1,000062310	-0,332338600	-0,395510400	7,516750340	53,040158200	196,994238000
-7,365320000	-1,600038000	195,540431000	-0,354005200	0,001217710	0,092310900	-1,996509300	-2,355989600	-0,384501600	0,765188700	-74,270853000	0,347905200	-0,863659400	-0,561494400	182,872634000	1,000062310	-0,450442400	-0,513614200	7,516750340	53,040158200	196,994238000
